 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.0015	10.6032	1.9332	-0.00129924	0.0964039	-29.0466	-0.850051	-1.72115	-35.1767	2.33164	-47.3191	-110.601	3.37421	3.78338	1.40985	

0.00151	10.7301	1.87431	-0.00242268	0.0934863	-32.9175	-0.935917	-1.91653	-37.3449	2.42705	-49.9949	-182.355	3.39906	3.84155	1.44379	

0.00152	10.9264	1.77365	-0.00431213	0.088836	-40.0115	-1.08259	-2.24526	-41.2456	2.57884	-54.7049	-236.629	3.43808	3.93292	1.49709	

0.00153	11.1865	1.6212	-0.00716138	0.082304	-51.6977	-1.30601	-2.73821	-47.4965	2.78768	-62.073	-182.183	3.49089	4.05657	1.56922	

0.00154	11.4628	1.42407	-0.010812	0.0746791	-67.5097	-1.58419	-3.34346	-55.7604	3.01865	-71.5779	-17.5994	3.54835	4.19108	1.64769	

0.00155	11.6863	1.24367	-0.0140876	0.0681904	-82.7138	-1.84398	-3.9037	-63.2768	3.21211	-80.1387	94.0859	3.59586	4.30233	1.71259	

0.00156	11.8296	1.12799	-0.0161502	0.0641122	-93.3955	-2.02865	-4.30039	-68.181	3.339	-85.7306	138.721	3.6268	4.37477	1.75485	

0.00157	11.9081	1.06385	-0.0172981	0.0618446	-99.6179	-2.13631	-4.53154	-70.9299	3.40943	-88.8622	158.77	3.64391	4.41482	1.77821	

0.00158	11.948	1.03133	-0.0178817	0.0606902	-102.88	-2.1928	-4.6528	-72.3386	3.44545	-90.4669	167.655	3.65264	4.43527	1.79014	

0.00159	11.9675	1.0155	-0.0181655	0.0601279	-104.505	-2.22095	-4.71321	-73.0333	3.46317	-91.2581	171.779	3.65694	4.44532	1.796	

0.0016	11.9769	1.00792	-0.0183016	0.059858	-105.287	-2.23448	-4.74223	-73.3665	3.47162	-91.6373	173.753	3.65898	4.45012	1.7988	

0.00161	11.9812	1.00433	-0.0183661	0.0597302	-105.656	-2.24086	-4.75593	-73.5232	3.4756	-91.8157	174.66	3.65995	4.45237	1.80012	

0.00162	11.9833	1.00265	-0.0183962	0.0596704	-105.83	-2.24389	-4.76243	-73.5973	3.47748	-91.9001	175.081	3.6604	4.45344	1.80074	

0.00163	11.9843	1.00186	-0.0184103	0.0596423	-105.913	-2.24533	-4.76549	-73.6324	3.47837	-91.94	175.287	3.66062	4.45394	1.80103	

0.00164	11.9847	1.00149	-0.0184171	0.059629	-105.951	-2.24599	-4.76691	-73.6486	3.47878	-91.9585	175.382	3.66072	4.45417	1.80117	

0.00165	11.985	1.00131	-0.0184202	0.0596227	-105.969	-2.2463	-4.76756	-73.6561	3.47897	-91.967	175.423	3.66076	4.45428	1.80123	

0.00166	11.985	1.00123	-0.0184218	0.0596198	-105.977	-2.24644	-4.76787	-73.6596	3.47906	-91.971	175.442	3.66079	4.45433	1.80126	

0.00167	11.9851	1.00119	-0.0184225	0.0596183	-105.981	-2.2465	-4.76801	-73.6612	3.4791	-91.9728	175.452	3.6608	4.45436	1.80127	

0.00168	11.9851	1.00117	-0.0184229	0.0596176	-105.982	-2.24653	-4.76807	-73.6619	3.47912	-91.9736	175.455	3.6608	4.45437	1.80128	

