 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.0061	11.9698	1.00035	0.0262514	0.0539682	-106.01	-0.220182	-5.09531	-74.3575	0.635027	-92.5562	238.61	3.65678	4.44561	1.79669	

0.00615	11.9711	1.00035	0.0262491	0.0539665	-106.01	-0.220097	-5.0952	-74.2954	0.557062	-92.4995	234.33	3.65706	4.44626	1.79707	

0.0062	11.9724	1.00035	0.0262462	0.0539648	-106.01	-0.219984	-5.0951	-74.2324	0.48542	-92.4423	229.933	3.65734	4.44693	1.79746	

0.00625	11.9737	1.00034	0.0262427	0.0539628	-106.01	-0.219843	-5.09499	-74.1695	0.42007	-92.3853	225.487	3.65762	4.44759	1.79785	

0.0063	11.975	1.00034	0.0262377	0.0539606	-106.01	-0.219664	-5.09488	-74.1077	0.360894	-92.3293	221.055	3.6579	4.44825	1.79824	

0.00635	11.9762	1.00034	0.0262301	0.0539579	-106.01	-0.219417	-5.09475	-74.0477	0.307698	-92.2751	216.696	3.65817	4.44889	1.79861	

0.0064	11.9774	1.00034	0.0262189	0.0539546	-106.01	-0.219055	-5.09461	-73.9901	0.260224	-92.223	212.462	3.65843	4.4495	1.79897	

0.00645	11.9786	1.00033	0.0262031	0.0539505	-106.01	-0.218529	-5.09443	-73.9355	0.218157	-92.1737	208.398	3.65868	4.45008	1.79932	

0.0065	11.9796	1.00033	0.0261808	0.053946	-106.011	-0.217768	-5.09422	-73.8842	0.181143	-92.1275	204.543	3.65891	4.45063	1.79964	

0.00655	11.9806	1.00033	0.0261498	0.0539411	-106.011	-0.216675	-5.09397	-73.8365	0.148797	-92.0845	200.925	3.65913	4.45114	1.79994	

0.0066	11.9816	1.00032	0.0261067	0.0539352	-106.011	-0.21512	-5.0937	-73.7926	0.120714	-92.045	197.565	3.65933	4.45161	1.80021	

0.00665	11.9824	1.00032	0.0260472	0.0539274	-106.011	-0.212929	-5.09337	-73.7526	0.0964741	-92.009	194.477	3.65951	4.45204	1.80046	

0.0067	11.9831	1.00032	0.0259657	0.053917	-106.012	-0.209882	-5.09293	-73.7165	0.0756503	-91.9764	191.665	3.65968	4.45243	1.80069	

0.00675	11.9838	1.00032	0.025855	0.0539032	-106.012	-0.205703	-5.09235	-73.684	0.0578111	-91.9471	189.127	3.65982	4.45277	1.80089	

0.0068	11.9844	1.00032	0.0257059	0.0538848	-106.012	-0.200045	-5.09157	-73.6552	0.0425124	-91.9211	186.857	3.65996	4.45308	1.80107	

0.00685	11.9849	1.00032	0.0255073	0.05386	-106.012	-0.192502	-5.09053	-73.6297	0.0290878	-91.8982	184.841	3.66007	4.45335	1.80123	

0.0069	11.9854	1.00032	0.0252463	0.0538265	-106.012	-0.182695	-5.08913	-73.6073	0.0144045	-91.878	183.063	3.66017	4.45359	1.80137	

0.00695	11.9858	1.00032	0.0249131	0.0537818	-106.012	-0.169886	-5.08725	-73.5877	0.00129537	-91.8604	181.503	3.66026	4.4538	1.8015	

0.007	11.9862	1.00033	0.024489	0.053722	-106.012	-0.153185	-5.08471	-73.5708	-0.00336386	-91.8451	180.142	3.66034	4.45399	1.8016	

0.00705	11.9865	1.00033	0.0239445	0.0536423	-106.013	-0.132193	-5.08133	-73.5561	-0.0030651	-91.8318	178.957	3.66041	4.45415	1.8017	

0.0071	11.9868	1.00034	0.0232595	0.053537	-106.013	-0.105691	-5.07685	-73.5434	-0.00248519	-91.8203	177.924	3.66047	4.45429	1.80178	

0.00715	11.987	1.00035	0.0224252	0.0533995	-106.014	-0.0711439	-5.07098	-73.5324	-0.00167895	-91.8103	177.022	3.66052	4.45442	1.80186	

0.0072	11.9873	1.00036	0.0213823	0.0532221	-106.014	-0.028654	-5.06335	-73.5228	-0.000660442	-91.8015	176.232	3.66057	4.45453	1.80193	

0.00725	11.9875	1.00038	0.02001	0.0529957	-106.015	0.0312215	-5.05354	-73.5144	0.000792382	-91.7937	175.528	3.66061	4.45464	1.80199	

0.0073	11.9877	1.0004	0.0180785	0.0527102	-106.016	0.107399	-5.04109	-73.5068	0.00264483	-91.7863	174.878	3.66065	4.45473	1.80205	

0.00735	11.9879	1.00043	0.0157984	0.052355	-106.016	0.192548	-5.02549	-73.4995	0.00470934	-91.7792	174.256	3.66069	4.45483	1.8021	

0.0074	11.988	1.00047	0.0133477	0.0519185	-106.017	0.29174	-5.00618	-73.4928	0.00710116	-91.7723	173.662	3.66073	4.45492	1.80216	

0.00745	11.9882	1.0005	0.0106772	0.0513888	-106.018	0.403979	-4.98257	-73.4866	0.00978438	-91.7656	173.099	3.66076	4.45501	1.80221	

0.0075	11.9884	1.00053	0.00771861	0.0507541	-106.019	0.52902	-4.95407	-73.4811	0.0127391	-91.759	172.561	3.6608	4.4551	1.80227	

0.00755	11.9886	1.00056	0.00444941	0.0500033	-106.021	0.667305	-4.9201	-73.4761	0.0159591	-91.7525	172.042	3.66083	4.45518	1.80232	

0.0076	11.9887	1.00059	0.000876024	0.0491271	-106.022	0.819191	-4.88015	-73.4716	0.0194328	-91.7459	171.536	3.66087	4.45526	1.80237	

0.00765	11.9889	1.00062	-0.00296635	0.0481185	-106.023	0.984014	-4.83378	-73.4676	0.023121	-91.7391	171.042	3.6609	4.45534	1.80241	

0.0077	11.989	1.00064	-0.00703357	0.0469734	-106.024	1.1603	-4.78069	-73.4641	0.0269634	-91.7319	170.561	3.66093	4.45542	1.80246	

0.00775	11.9892	1.00066	-0.0112759	0.0456915	-106.025	1.34605	-4.72075	-73.4611	0.030887	-91.7245	170.097	3.66096	4.45549	1.80249	

0.0078	11.9893	1.00068	-0.0156111	0.0442768	-106.025	1.53872	-4.65402	-73.4587	0.0348082	-91.7168	169.657	3.66098	4.45555	1.80253	

0.00785	11.9893	1.00068	-0.0199278	0.0427382	-106.025	1.73451	-4.58078	-73.4568	0.0386191	-91.7089	169.25	3.66101	4.45559	1.80255	

0.0079	11.9894	1.00068	-0.0241531	0.0410895	-106.025	1.92924	-4.50158	-73.4557	0.0422113	-91.701	168.886	3.66102	4.45563	1.80256	

0.00795	11.9894	1.00068	-0.0282451	0.0393496	-106.023	2.11979	-4.4172	-73.4553	0.0455107	-91.6932	168.57	3.66104	4.45565	1.80257	

0.008	11.9894	1.00067	-0.0321554	0.0375411	-106.022	2.30359	-4.32872	-73.4558	0.048466	-91.6859	168.308	3.66105	4.45567	1.80257	

0.00805	11.9894	1.00065	-0.0358418	0.035707	-106.021	2.47843	-4.23746	-73.457	0.0510454	-91.6791	168.104	3.66105	4.45568	1.80257	

0.0081	11.9894	1.00062	-0.0392707	0.0338945	-106.02	2.64248	-4.14552	-73.4589	0.053244	-91.6728	167.952	3.66106	4.45568	1.80256	

0.00815	11.9893	1.00059	-0.042418	0.0321278	-106.019	2.79435	-4.05479	-73.4612	0.0550727	-91.6672	167.847	3.66106	4.45567	1.80254	

